domain	nc	size	name
Archaea	0.929736	469320	UP000003423_859350.acs
Archaea	0.657645	324344	UP000003484_1072681.acs
Archaea	0.851154	771653	UP000003980_671065.acs
Archaea	0.938359	474782	UP000004440_1001994.acs
Archaea	0.90507	904200	UP000004595_751944.acs
Archaea	0.925308	732404	UP000005095_28892.acs
Archaea	0.933942	524509	UP000005223_187420.acs
Archaea	0.932498	409803	UP000005270_1184251.acs
Archaea	0.921692	906721	UP000005741_937775.acs
Archaea	0.914193	730938	UP000005877_1110509.acs
Archaea	0.915868	1097046	UP000006469_523841.acs
Archaea	0.892489	1077692	UP000006507_406552.acs
Archaea	0.925222	826422	UP000006565_679926.acs
Archaea	0.919212	610469	UP000006622_679901.acs
Archaea	0.91441	1130016	UP000006663_469382.acs
Archaea	0.935107	708751	UP000006681_572478.acs
Archaea	0.899394	1232325	UP000006794_797210.acs
Archaea	0.931891	400476	UP000006903_490899.acs
Archaea	0.9384	381356	UP000007391_1163730.acs
Archaea	0.926635	715694	UP000007490_877455.acs
Archaea	0.91178	496543	UP000007722_456320.acs
Archaea	0.894406	821985	UP000007807_990316.acs
Archaea	0.900926	1294136	UP000007813_1210908.acs
Archaea	0.930089	756973	UP000008037_1237085.acs
Archaea	0.774242	631940	UP000008120_311458.acs
Archaea	0.931528	558359	UP000008136_693661.acs
Archaea	0.866764	1126280	UP000008156_269797.acs
Archaea	0.895267	1130962	UP000008243_309800.acs
Archaea	0.928007	620352	UP000008458_933801.acs
Archaea	0.913863	760187	UP000008680_634498.acs
Archaea	0.91824	768769	UP000009007_1201294.acs
Archaea	0.935342	554697	UP000009079_604354.acs
Archaea	0.895184	501396	UP000009227_880724.acs
Archaea	0.922665	662256	UP000009231_868131.acs
Archaea	0.878149	265128	UP000009376_662762.acs
Archaea	0.906282	354589	UP000009379_889948.acs
Archaea	0.895696	319963	UP000009382_889962.acs
Archaea	0.904114	980990	UP000010096_756883.acs
Archaea	0.89745	1028101	UP000010468_797304.acs
Archaea	0.925927	442436	UP000010469_1056495.acs
Archaea	0.93284	810777	UP000010824_593750.acs
Archaea	0.884723	1179910	UP000010843_797303.acs
Archaea	0.909726	914088	UP000010846_797302.acs
Archaea	0.915078	771326	UP000010866_867904.acs
Archaea	0.894293	1196774	UP000010878_694430.acs
Archaea	0.882009	1220474	UP000011513_1227487.acs
Archaea	0.895071	1209462	UP000011554_29540.acs
Archaea	0.886845	1212350	UP000011555_358396.acs
Archaea	0.888771	957097	UP000011566_1132509.acs
Archaea	0.88097	843377	UP000011568_931277.acs
Archaea	0.886446	1348622	UP000011599_1114856.acs
Archaea	0.880405	1253988	UP000011602_1227499.acs
Archaea	0.893081	1004006	UP000011607_1227454.acs
Archaea	0.889444	958682	UP000011615_1230457.acs
Archaea	0.886031	1310473	UP000011626_797114.acs
Archaea	0.887095	1148079	UP000011632_1227496.acs
Archaea	0.897074	967963	UP000011661_1230460.acs
Archaea	0.892752	981310	UP000011669_1227455.acs
Archaea	0.9007	1055136	UP000011679_1227460.acs
Archaea	0.887986	858121	UP000011689_1227481.acs
Archaea	0.900626	809592	UP000011867_268739.acs
Archaea	0.936831	443297	UP000012076_1054217.acs
Archaea	0.91745	490742	UP000012672_1236689.acs
Archaea	0.935975	604556	UP000013307_387631.acs
Archaea	0.939356	501765	UP000014066_224719.acs
Archaea	0.925184	562683	UP000014070_1295009.acs
Archaea	0.908993	911803	UP000014072_1333523.acs
Archaea	0.902894	856988	UP000015381_1033806.acs
Archaea	0.93914	523380	UP000015543_1365176.acs
Archaea	0.900538	728013	UP000016986_1261545.acs
Archaea	0.893362	1030664	UP000017840_1324957.acs
Archaea	0.938588	559669	UP000017867_1379702.acs
Archaea	0.922503	492143	UP000017931_667138.acs
Archaea	0.787234	664928	UP000018013_261388.acs
Archaea	0.930638	480563	UP000018052_667137.acs
Archaea	0.947474	494545	UP000018159_1407055.acs
Archaea	0.898111	444629	UP000018188_1410576.acs
Archaea	0.917428	536142	UP000018202_261391.acs
Archaea	0.898384	587698	UP000018337_667135.acs
Archaea	0.937204	295448	UP000018432_1242866.acs
Archaea	0.91661	207976	UP000018894_1173487.acs
Archaea	0.90516	1126012	UP000019024_797299.acs
Archaea	0.930341	583870	UP000019027_582419.acs
Archaea	0.899071	910742	UP000019483_1090322.acs
Archaea	0.925319	650260	UP000024332_1160895.acs
Archaea	0.898587	722748	UP000027027_1495067.acs
Archaea	0.935814	729208	UP000027093_926571.acs
Archaea	0.923057	941426	UP000027153_1392998.acs
Archaea	0.934854	563291	UP000027981_1343739.acs
Archaea	0.92543	319401	UP000029387_1502295.acs
Archaea	0.828979	812135	UP000030639_1070774.acs
Archaea	0.920091	653713	UP000030642_1238426.acs
Archaea	0.882277	640198	UP000030648_1412872.acs
Archaea	0.880438	767293	UP000030650_1085028.acs
Archaea	0.889215	769015	UP000030660_1412871.acs
Archaea	0.889118	612759	UP000030667_1412873.acs
Archaea	0.88153	650011	UP000030674_1085029.acs
Archaea	0.882815	738654	UP000030679_1412874.acs
Archaea	0.912071	445219	UP000030787_1577791.acs
Archaea	0.946283	377279	UP000030944_1410606.acs
Archaea	0.940801	296360	UP000030961_1579365.acs
Archaea	0.939691	256220	UP000030964_1579367.acs
Archaea	0.938814	267312	UP000030966_1579371.acs
Archaea	0.940948	373390	UP000030990_1579366.acs
Archaea	0.936134	273102	UP000031042_1579372.acs
Archaea	0.931297	251217	UP000031058_1579376.acs
Archaea	0.91406	143127	UP000031483_1198115.acs
Archaea	0.925426	255387	UP000031765_1579378.acs
Archaea	0.949508	357400	UP000031776_1579373.acs
Archaea	0.941663	374442	UP000031777_1579370.acs
Archaea	0.890669	1035832	UP000033049_1434100.acs
Archaea	0.925893	428462	UP000033636_1609232.acs
Archaea	0.803373	1444445	UP000034722_1538547.acs
Archaea	0.936001	540133	UP000034723_113653.acs
Archaea	0.918346	352826	UP000037210_1685127.acs
Archaea	0.867161	274379	UP000037237_1685124.acs
Archaea	0.940703	392494	UP000037259_1685126.acs
Archaea	0.917738	285700	UP000037456_1685133.acs
Archaea	0.945702	401263	UP000037599_1685135.acs
Archaea	0.930921	397437	UP000050284_1700836.acs
Archaea	0.935585	497383	UP000050301_312540.acs
Archaea	0.925082	506144	UP000050312_1700835.acs
Archaea	0.916423	1078518	UP000050360_1719120.acs
Archaea	0.909985	838665	UP000050535_699431.acs
Archaea	0.935516	558015	UP000050878_1735327.acs
Archaea	0.944856	479373	UP000051144_1713724.acs
Archaea	0.929714	406173	UP000051388_1640512.acs
Archaea	0.937598	597516	UP000051748_1735326.acs
Archaea	0.913506	961360	UP000053157_1544718.acs
Archaea	0.916484	178873	UP000053279_1294122.acs
Archaea	0.908831	584998	UP000053331_2248.acs
Archaea	0.91517	456718	UP000053352_2309.acs
Archaea	0.940422	164750	UP000053361_1242690.acs
Archaea	0.951101	191122	UP000053580_1655560.acs
Archaea	0.927993	112256	UP000053651_1579379.acs
Archaea	0.894247	486033	UP000053694_1325472.acs
Archaea	0.948321	115360	UP000053740_1579374.acs
Archaea	0.93952	409912	UP000053765_1635284.acs
Archaea	0.925606	238614	UP000053781_1198116.acs
Archaea	0.95243	312200	UP000053922_1713725.acs
Archaea	0.953351	173579	UP000054016_1685125.acs
Archaea	0.927266	516817	UP000054069_1635283.acs
Archaea	0.946831	158763	UP000054200_1527301.acs
Archaea	0.941444	376912	UP000054237_1769296.acs
Archaea	0.935455	530875	UP000054284_1326980.acs
Archaea	0.9107	432529	UP000054356_1238428.acs
Archaea	0.862433	345221	UP000054362_1609231.acs
Archaea	0.924973	501427	UP000054381_1714261.acs
Archaea	0.913569	1074478	UP000054387_1514971.acs
Archaea	0.909989	537174	UP000054598_2198.acs
Archaea	0.928664	234723	UP000054619_1714250.acs
Archaea	0.933065	167156	UP000054659_1714259.acs
Archaea	0.940833	273294	UP000054677_1714251.acs
Archaea	0.91995	490953	UP000054689_1714253.acs
Archaea	0.908228	783256	UP000054757_1641394.acs
Archaea	0.917723	184761	UP000054943_1714260.acs
Archaea	0.937266	307896	UP000054992_1714252.acs
Archaea	0.934771	286894	UP000055030_1714255.acs
Archaea	0.931509	260381	UP000055041_1714254.acs
Archaea	0.942507	392615	UP000056382_1635285.acs
Archaea	0.916466	574731	UP000058290_1495144.acs
Archaea	0.907782	829359	UP000058925_1353260.acs
Archaea	0.941337	415030	UP000060778_940295.acs
Archaea	0.899567	910421	UP000066737_1407499.acs
Archaea	0.936008	421868	UP000067434_1550241.acs
Archaea	0.906139	737678	UP000067738_230361.acs
Archaea	0.919004	822921	UP000069850_86622.acs
Archaea	0.917192	637001	UP000069906_1604004.acs
Archaea	0.945392	134315	UP000070035_1698274.acs
Archaea	0.951057	41341	UP000070038_1698258.acs
Archaea	0.905171	896198	UP000070043_1706445.acs
Archaea	0.94039	190618	UP000070076_1698277.acs
Archaea	0.947445	999670	UP000070149_1706444.acs
Archaea	0.918996	145563	UP000070155_1698266.acs
Archaea	0.926409	270658	UP000070163_1698259.acs
Archaea	0.958127	43957	UP000070171_1698288.acs
Archaea	0.945556	101451	UP000070175_1698285.acs
Archaea	0.924641	192211	UP000070184_1698260.acs
Archaea	0.934782	88468	UP000070195_1698262.acs
Archaea	0.965605	33380	UP000070248_1698287.acs
Archaea	0.95292	72907	UP000070256_1698286.acs
Archaea	0.913286	208237	UP000070257_1698269.acs
Archaea	0.939577	216303	UP000070263_1698280.acs
Archaea	0.916585	311721	UP000070284_1698264.acs
Archaea	0.94441	96092	UP000070311_1698279.acs
Archaea	0.909116	200716	UP000070341_1698270.acs
Archaea	0.914127	238899	UP000070344_1698271.acs
Archaea	0.929237	190103	UP000070373_1698263.acs
Archaea	0.950175	75280	UP000070399_1698257.acs
Archaea	0.94231	162931	UP000070400_1698273.acs
Archaea	0.939035	131962	UP000070404_1698281.acs
Archaea	0.943642	140086	UP000070405_1698276.acs
Archaea	0.921879	179292	UP000070414_1698268.acs
Archaea	0.903907	305164	UP000070463_1698267.acs
Archaea	0.943138	90793	UP000070491_1698282.acs
Archaea	0.942573	61194	UP000070504_1698283.acs
Archaea	0.935918	165970	UP000070520_1698272.acs
Archaea	0.939306	103200	UP000070549_1698278.acs
Archaea	0.939783	163887	UP000070565_1698275.acs
Archaea	0.926069	192968	UP000070589_1698261.acs
Archaea	0.927576	634771	UP000070599_1706443.acs
Archaea	0.94006	93652	UP000070633_1698284.acs
Archaea	0.918959	191784	UP000070657_1698265.acs
Archaea	0.929378	218643	UP000071776_1775754.acs
Archaea	0.936643	775257	UP000074030_1794908.acs
Archaea	0.93822	357701	UP000074294_1776334.acs
Archaea	0.924255	343561	UP000074447_1776333.acs
Archaea	0.916906	255708	UP000075113_1775755.acs
Archaea	0.921663	959725	UP000075311_1803813.acs
Archaea	0.939003	327590	UP000075319_1803822.acs
Archaea	0.911852	207705	UP000075353_1779367.acs
Archaea	0.92048	356973	UP000075365_1779370.acs
Archaea	0.942064	551462	UP000075398_1705409.acs
Archaea	0.921592	476645	UP000075406_1779368.acs
Archaea	0.926703	508427	UP000075437_1779371.acs
Archaea	0.947449	553513	UP000075446_1803815.acs
Archaea	0.932115	390846	UP000075468_1803817.acs
Archaea	0.94794	425958	UP000075475_1803821.acs
Archaea	0.91699	234698	UP000075493_1779369.acs
Archaea	0.910617	1217512	UP000075539_1803814.acs
Archaea	0.925907	645897	UP000075555_1803819.acs
Archaea	0.926857	541108	UP000075570_1803818.acs
Archaea	0.932986	491777	UP000075578_1705564.acs
Archaea	0.930007	231552	UP000075614_1779372.acs
Archaea	0.916389	1085222	UP000076599_1679489.acs
Archaea	0.864244	604930	UP000077066_55758.acs
Archaea	0.883536	566479	UP000077245_49547.acs
Archaea	0.89031	590290	UP000077275_47311.acs
Archaea	0.92285	579652	UP000077428_66851.acs
Archaea	0.938887	472285	UP000092403_1706438.acs
Archaea	0.896789	656850	UP000094058_1849261.acs
Archaea	0.93054	564052	UP000094087_1849364.acs
Archaea	0.926142	373328	UP000094468_1878999.acs
Archaea	0.928927	662468	UP000094707_118062.acs
Archaea	0.919683	842557	UP000094736_1860100.acs
Archaea	0.939594	512459	UP000094786_1860099.acs
Archaea	0.914713	801796	UP000095125_1849365.acs
Archaea	0.899662	899474	UP000175834_1882735.acs
Archaea	0.942112	331249	UP000175880_1737403.acs
Archaea	0.921611	225626	UP000176461_1797976.acs
Archaea	0.931882	335339	UP000176481_1797378.acs
Archaea	0.932107	231855	UP000176610_1797381.acs
Archaea	0.9336	400723	UP000176735_1797377.acs
Archaea	0.937717	224062	UP000176807_1801633.acs
Archaea	0.910506	186954	UP000176884_1797978.acs
Archaea	0.922549	258910	UP000176892_1797979.acs
Archaea	0.945599	173710	UP000176986_1801880.acs
Archaea	0.927124	328269	UP000177051_1797380.acs
Archaea	0.931141	335213	UP000177200_1797382.acs
Archaea	0.935146	229481	UP000177303_1802371.acs
Archaea	0.895044	348618	UP000177338_1797981.acs
Archaea	0.928742	452488	UP000177351_1797379.acs
Archaea	0.937402	118159	UP000178521_1802470.acs
Archaea	0.936571	189030	UP000178604_1801632.acs
Archaea	0.931738	429937	UP000178611_1797977.acs
Archaea	0.905834	551019	UP000179060_1797984.acs
Archaea	0.902253	376351	UP000179116_1797982.acs
Archaea	0.930626	382088	UP000179174_1801881.acs
Archaea	0.938077	90682	UP000179185_1801882.acs
Archaea	0.913243	418054	UP000179216_1797980.acs
Archaea	0.935704	328496	UP000179238_1797286.acs
Archaea	0.942818	232436	UP000181876_1805252.acs
Archaea	0.949573	326740	UP000181889_1805248.acs
Archaea	0.94932	241878	UP000181988_1805297.acs
Archaea	0.922242	156124	UP000182039_1805293.acs
Archaea	0.93333	317205	UP000182220_1805249.acs
Archaea	0.920674	394800	UP000182290_1803514.acs
Archaea	0.933814	222621	UP000182329_1805295.acs
Archaea	0.945563	108981	UP000182352_1805398.acs
Archaea	0.934363	242921	UP000182362_1803500.acs
Archaea	0.928402	329100	UP000182370_1805250.acs
Archaea	0.944773	208840	UP000182426_1805294.acs
Archaea	0.950321	425707	UP000182568_1805424.acs
Archaea	0.936056	203741	UP000182694_1805298.acs
Archaea	0.929226	246763	UP000182791_1805422.acs
Archaea	0.919254	229647	UP000182853_1889002.acs
Archaea	0.945728	187802	UP000183003_1805296.acs
Archaea	0.951849	362353	UP000183080_1888995.acs
Archaea	0.957371	237027	UP000183138_1888997.acs
Archaea	0.902441	1200987	UP000183275_1202768.acs
Archaea	0.935332	160048	UP000183403_1889000.acs
Archaea	0.945913	207512	UP000183464_1805251.acs
Archaea	0.937559	258897	UP000183608_1805423.acs
Archaea	0.86716	348488	UP000183615_1888996.acs
Archaea	0.958788	115233	UP000183686_1888999.acs
Archaea	0.935241	322912	UP000183815_1889001.acs
Archaea	0.930021	343368	UP000183913_1805247.acs
Archaea	0.947096	239489	UP000184145_1531428.acs
Archaea	0.904196	922802	UP000184357_43928.acs
Archaea	0.938933	861620	UP000185561_1837170.acs
Archaea	0.932606	210838	UP000185571_1805014.acs
Archaea	0.780951	788769	UP000185594_1805007.acs
Archaea	0.929119	1126749	UP000185649_1849166.acs
Archaea	0.909781	1090797	UP000185687_588898.acs
Archaea	0.913941	525482	UP000185744_1903181.acs
Archaea	0.927957	442627	UP000185779_1839936.acs
Archaea	0.943985	197906	UP000185910_1805012.acs
Archaea	0.921773	411073	UP000185937_1805013.acs
Archaea	0.902831	1528994	UP000186063_1841598.acs
Archaea	0.810521	744350	UP000186073_1805093.acs
Archaea	0.940861	239272	UP000186093_1805388.acs
Archaea	0.949441	104083	UP000186094_1805382.acs
Archaea	0.919713	623574	UP000186165_1873524.acs
Archaea	0.942862	292607	UP000186183_1805383.acs
Archaea	0.89701	1343181	UP000186209_1841597.acs
Archaea	0.944292	689647	UP000186239_1841596.acs
Archaea	0.935266	84010	UP000186295_1805380.acs
Archaea	0.921203	204869	UP000186321_1805387.acs
Archaea	0.946977	341111	UP000186326_1805393.acs
Archaea	0.932882	196652	UP000186346_1805097.acs
Archaea	0.871349	619089	UP000186350_1805019.acs
Archaea	0.955549	210454	UP000186417_1805054.acs
Archaea	0.952143	146909	UP000186569_1805385.acs
Archaea	0.948283	361549	UP000186650_1805095.acs
Archaea	0.915872	671031	UP000186658_1805098.acs
Archaea	0.93398	61870	UP000186710_1805135.acs
Archaea	0.946369	484492	UP000186796_1805020.acs
Archaea	0.927561	438889	UP000186851_1841599.acs
Archaea	0.913017	272110	UP000186869_1805139.acs
Archaea	0.90327	1295187	UP000186914_553468.acs
Archaea	0.916152	510543	UP000186940_1838285.acs
Archaea	0.908056	1076951	UP000187924_1932360.acs
Archaea	0.893292	973127	UP000191169_1853690.acs
Archaea	0.881977	608793	UP000191661_1300164.acs
Archaea	0.913947	370543	UP000192741_1933927.acs
Archaea	0.92355	758380	UP000193404_282676.acs
Archaea	0.885316	884230	UP000194293_1855873.acs
Archaea	0.918241	425233	UP000195137_1927129.acs
Archaea	0.9293	612262	UP000195320_1986682.acs
Archaea	0.917542	237582	UP000195355_1986695.acs
Archaea	0.919877	540504	UP000195364_1986685.acs
Archaea	0.919895	726955	UP000195372_1986686.acs
Archaea	0.938818	664761	UP000195765_1986693.acs
Archaea	0.942899	509694	UP000195799_1986697.acs
Archaea	0.918036	632444	UP000195816_1986696.acs
Archaea	0.92629	313363	UP000195966_1986690.acs
Archaea	0.940915	402718	UP000196031_1986687.acs
Archaea	0.947859	311213	UP000196083_1986694.acs
Archaea	0.908554	1089211	UP000196084_253108.acs
Archaea	0.918183	392457	UP000196106_1986689.acs
Archaea	0.924491	653874	UP000196159_1986683.acs
Archaea	0.938492	348447	UP000196221_1986691.acs
Archaea	0.942551	546446	UP000196239_1078905.acs
Archaea	0.941906	261287	UP000196257_1986688.acs
Archaea	0.909966	397318	UP000196374_1986692.acs
Archaea	0.942914	427522	UP000196375_1986684.acs
Archaea	0.93326	652071	UP000196482_1986698.acs
Archaea	0.944551	147978	UP000196489_1932700.acs
Archaea	0.936288	568458	UP000196843_2008440.acs
Archaea	0.932153	547887	UP000197156_2264.acs
Archaea	0.936382	527671	UP000197418_71998.acs
Archaea	0.936359	483470	UP000197485_387957.acs
Archaea	0.919602	277313	UP000197679_1920749.acs
Archaea	0.939873	536744	UP000197915_1961136.acs
Archaea	0.90684	1002170	UP000198397_63740.acs
Archaea	0.907263	884077	UP000198518_355548.acs
Archaea	0.901185	1215170	UP000198531_553469.acs
Archaea	0.911073	907405	UP000198535_487685.acs
Archaea	0.88086	1409489	UP000198775_1367881.acs
Archaea	0.904203	1161805	UP000198848_1095778.acs
Archaea	0.914318	979672	UP000198856_890420.acs
Archaea	0.905588	1024130	UP000198876_553467.acs
Archaea	0.910122	947826	UP000198888_1073996.acs
Archaea	0.905301	1202276	UP000199062_767519.acs
Archaea	0.90228	969893	UP000199079_1048396.acs
Archaea	0.899745	1355386	UP000199114_1186196.acs
Archaea	0.872097	1438606	UP000199126_660520.acs
Archaea	0.90155	1088495	UP000199170_660517.acs
Archaea	0.890825	899592	UP000199215_1267564.acs
Archaea	0.901475	1114234	UP000199289_1236180.acs
Archaea	0.885971	1096490	UP000199370_996166.acs
Archaea	0.904959	1098223	UP000199451_660521.acs
Archaea	0.931269	416637	UP000215630_2012506.acs
Archaea	0.88245	210045	UP000215658_2012502.acs
Archaea	0.813243	1007089	UP000215704_1483400.acs
Archaea	0.939151	180246	UP000215840_2012511.acs
Archaea	0.883937	1069448	UP000216038_1480718.acs
Archaea	0.936949	255570	UP000216043_2012532.acs
Archaea	0.931787	239842	UP000216128_2012531.acs
Archaea	0.925151	322242	UP000216196_2012513.acs
Archaea	0.892151	406248	UP000216204_2012522.acs
Archaea	0.932044	292623	UP000216208_2012534.acs
Archaea	0.932803	285403	UP000216244_2012508.acs
Archaea	0.918408	507615	UP000216278_1917473.acs
Archaea	0.912719	532659	UP000216287_29283.acs
Archaea	0.88472	917458	UP000216308_1383851.acs
Archaea	0.944718	114359	UP000216395_2012516.acs
Archaea	0.932439	459686	UP000216408_2012527.acs
Archaea	0.943197	124507	UP000216456_2012514.acs
Archaea	0.946689	553009	UP000216477_2012524.acs
Archaea	0.929176	381990	UP000216556_2012510.acs
Archaea	0.935188	82939	UP000216597_2012515.acs
Archaea	0.929267	289426	UP000216669_2012509.acs
Archaea	0.888385	261894	UP000216670_1978126.acs
Archaea	0.917431	942196	UP000216673_2012529.acs
Archaea	0.940075	251038	UP000216686_2012512.acs
Archaea	0.934626	169291	UP000216777_2012505.acs
Archaea	0.934627	171303	UP000216807_2012504.acs
Archaea	0.918737	545429	UP000216823_2012520.acs
Archaea	0.868845	290859	UP000216846_2012507.acs
Archaea	0.907262	605994	UP000216854_2012519.acs
Archaea	0.937896	413523	UP000216907_2012521.acs
Archaea	0.924467	169003	UP000216972_1978125.acs
Archaea	0.926585	148538	UP000217063_2012503.acs
Bacteria	0.934819	572264	UP000175580_1869301.acs
Bacteria	0.913345	891083	UP000175621_1881858.acs
Bacteria	0.926065	755377	UP000175651_1869298.acs
Bacteria	0.939227	999817	UP000175667_1897620.acs
Bacteria	0.941628	1076679	UP000175669_1524254.acs
Bacteria	0.929839	259824	UP000175679_955.acs
Bacteria	0.949319	1417638	UP000175691_1656094.acs
Bacteria	0.930798	795349	UP000175708_1869308.acs
Bacteria	0.947013	1129552	UP000175712_1869297.acs
Bacteria	0.927462	683161	UP000175744_1121290.acs
Bacteria	0.941367	783019	UP000175748_1869300.acs
Bacteria	0.910849	1425508	UP000175826_1869167.acs
Bacteria	0.881486	1763939	UP000175829_943816.acs
Bacteria	0.924309	921871	UP000175879_1869299.acs
Bacteria	0.953393	294644	UP000175883_255919.acs
Bacteria	0.930248	1249750	UP000175905_1904462.acs
Bacteria	0.932307	650403	UP000175943_1869312.acs
Bacteria	0.949759	870801	UP000175965_1869305.acs
Bacteria	0.888329	1843863	UP000176005_518642.acs
Bacteria	0.947128	1473345	UP000176037_1856405.acs
Bacteria	0.933633	1027031	UP000176050_1850246.acs
Bacteria	0.924079	757515	UP000176077_1869311.acs
Bacteria	0.904961	1675583	UP000176087_933944.acs
Bacteria	0.917017	610870	UP000176100_1869309.acs
Bacteria	0.883828	1510798	UP000176101_1075402.acs
Bacteria	0.930729	168344	UP000176185_1797243.acs
Bacteria	0.939421	234833	UP000176186_1798401.acs
Bacteria	0.932069	181560	UP000176187_1801774.acs
Bacteria	0.932566	143978	UP000176192_1801797.acs
Bacteria	0.914008	1159088	UP000176194_1797225.acs
Bacteria	0.943295	154779	UP000176197_1801884.acs
Bacteria	0.931192	171024	UP000176198_1802471.acs
Bacteria	0.927831	764825	UP000176209_1797883.acs
Bacteria	0.909032	344596	UP000176214_1797190.acs
Bacteria	0.910274	1217048	UP000176215_1797927.acs
Bacteria	0.891827	890431	UP000176218_1797663.acs
Bacteria	0.937355	228099	UP000176221_1802319.acs
Bacteria	0.952373	153713	UP000176233_1817823.acs
Bacteria	0.899227	311514	UP000176235_1802101.acs
Bacteria	0.934567	192807	UP000176241_1797533.acs
Bacteria	0.922863	1134025	UP000176244_52694.acs
Bacteria	0.924935	369865	UP000176246_1801709.acs
Bacteria	0.945868	214792	UP000176249_1798598.acs
Bacteria	0.942178	348495	UP000176250_1797603.acs
Bacteria	0.899438	1202471	UP000176251_1920889.acs
Bacteria	0.937478	659378	UP000176252_1801839.acs
Bacteria	0.92728	530477	UP000176256_1797943.acs
Bacteria	0.919739	184800	UP000176260_1797531.acs
Bacteria	0.913882	644128	UP000176268_1797490.acs
Bacteria	0.934752	137371	UP000176273_1798468.acs
Bacteria	0.941042	304133	UP000176275_1797873.acs
Bacteria	0.935494	450046	UP000176276_1797945.acs
Bacteria	0.943742	215238	UP000176282_1798680.acs
Bacteria	0.93903	126566	UP000176284_1798410.acs
Bacteria	0.93298	164336	UP000176287_1798649.acs
Bacteria	0.919747	638556	UP000176288_1912795.acs
Bacteria	0.935012	257251	UP000176289_1801643.acs
Bacteria	0.941156	468206	UP000176290_1797696.acs
Bacteria	0.930192	215644	UP000176299_1802591.acs
Bacteria	0.935302	231762	UP000176300_1798697.acs
Bacteria	0.928784	781275	UP000176304_1801965.acs
Bacteria	0.93663	94369	UP000176308_1802211.acs
Bacteria	0.929181	504574	UP000176309_1817817.acs
Bacteria	0.925697	135968	UP000176317_1797705.acs
Bacteria	0.940903	158107	UP000176329_1798674.acs
Bacteria	0.935879	513634	UP000176335_1797882.acs
Bacteria	0.946904	251198	UP000176336_1797764.acs
Bacteria	0.930107	632018	UP000176338_1817873.acs
Bacteria	0.929122	224251	UP000176339_1817827.acs
Bacteria	0.934145	365721	UP000176340_1801826.acs
Bacteria	0.868284	971809	UP000176341_1802017.acs
Bacteria	0.928424	847898	UP000176344_1797905.acs
Bacteria	0.927524	751507	UP000176348_1798433.acs
