ref	tar	nrc	ir	ir.label
PT21	HS8	0.93509	0	"Without IR (0)"
PT22	HS8	0.93438	0	"Without IR (0)"
PTX	HS8	0.91335	0	"Without IR (0)"
PTY	HS8	0.94172	0	"Without IR (0)"
PTMT	HS8	1	0	"Without IR (0)"
PTUL	HS8	0.90857	0	"Without IR (0)"
PTUP	HS8	0.92887	0	"Without IR (0)"
PT1	HS9	0.79776	0	"Without IR (0)"
PT2A	HS9	0.80539	0	"Without IR (0)"
PT2B	HS9	0.80097	0	"Without IR (0)"
PT3	HS9	0.802	0	"Without IR (0)"
PT4	HS9	0.79863	0	"Without IR (0)"
PT5	HS9	0.79983	0	"Without IR (0)"
PT6	HS9	0.80084	0	"Without IR (0)"
PT7	HS9	0.79768	0	"Without IR (0)"
PT8	HS9	0.80149	0	"Without IR (0)"
PT9	HS9	0.28997	0	"Without IR (0)"
PT10	HS9	0.80262	0	"Without IR (0)"
PT11	HS9	0.80216	0	"Without IR (0)"
PT12	HS9	0.80156	0	"Without IR (0)"
PT13	HS9	0.8104	0	"Without IR (0)"
PT14	HS9	0.80853	0	"Without IR (0)"
PT15	HS9	0.81092	0	"Without IR (0)"
PT16	HS9	0.80659	0	"Without IR (0)"
PT17	HS9	0.80911	0	"Without IR (0)"
PT18	HS9	0.81277	0	"Without IR (0)"
PT19	HS9	0.80872	0	"Without IR (0)"
PT20	HS9	0.80595	0	"Without IR (0)"
PT21	HS9	0.82077	0	"Without IR (0)"
PT22	HS9	0.81631	0	"Without IR (0)"
PTX	HS9	0.79963	0	"Without IR (0)"
PTY	HS9	0.82603	0	"Without IR (0)"
PTMT	HS9	1	0	"Without IR (0)"
PTUL	HS9	0.781	0	"Without IR (0)"
PTUP	HS9	0.79365	0	"Without IR (0)"
PT1	HS10	0.90692	0	"Without IR (0)"
PT2A	HS10	0.91668	0	"Without IR (0)"
PT2B	HS10	0.91457	0	"Without IR (0)"
PT3	HS10	0.90776	0	"Without IR (0)"
PT4	HS10	0.9085	0	"Without IR (0)"
PT5	HS10	0.9101	0	"Without IR (0)"
PT6	HS10	0.90927	0	"Without IR (0)"
PT7	HS10	0.90925	0	"Without IR (0)"
PT8	HS10	0.9095	0	"Without IR (0)"
PT9	HS10	0.91421	0	"Without IR (0)"
PT10	HS10	0.30421	0	"Without IR (0)"
PT11	HS10	0.91264	0	"Without IR (0)"
PT12	HS10	0.90873	0	"Without IR (0)"
PT13	HS10	0.91937	0	"Without IR (0)"
PT14	HS10	0.91822	0	"Without IR (0)"
PT15	HS10	0.91976	0	"Without IR (0)"
PT16	HS10	0.91608	0	"Without IR (0)"
PT17	HS10	0.91888	0	"Without IR (0)"
PT18	HS10	0.92202	0	"Without IR (0)"
PT19	HS10	0.91712	0	"Without IR (0)"
PT20	HS10	0.91829	0	"Without IR (0)"
PT21	HS10	0.9307	0	"Without IR (0)"
PT22	HS10	0.92823	0	"Without IR (0)"
PTX	HS10	0.90992	0	"Without IR (0)"
PTY	HS10	0.93878	0	"Without IR (0)"
PTMT	HS10	1	0	"Without IR (0)"
PTUL	HS10	0.89998	0	"Without IR (0)"
PTUP	HS10	0.91627	0	"Without IR (0)"
PT1	HS11	0.90406	0	"Without IR (0)"
PT2A	HS11	0.91461	0	"Without IR (0)"
PT2B	HS11	0.91136	0	"Without IR (0)"
PT3	HS11	0.90676	0	"Without IR (0)"
PT4	HS11	0.90532	0	"Without IR (0)"
PT5	HS11	0.90593	0	"Without IR (0)"
PT6	HS11	0.90621	0	"Without IR (0)"
PT7	HS11	0.90568	0	"Without IR (0)"
PT8	HS11	0.90791	0	"Without IR (0)"
PT9	HS11	0.91212	0	"Without IR (0)"
PT10	HS11	0.90983	0	"Without IR (0)"
PT11	HS11	0.29752	0	"Without IR (0)"
PT12	HS11	0.90842	0	"Without IR (0)"
PT13	HS11	0.9184	0	"Without IR (0)"
PT14	HS11	0.91728	0	"Without IR (0)"
PT15	HS11	0.91898	0	"Without IR (0)"
PT16	HS11	0.91631	0	"Without IR (0)"
PT17	HS11	0.91752	0	"Without IR (0)"
PT18	HS11	0.9216	0	"Without IR (0)"
PT19	HS11	0.91572	0	"Without IR (0)"
PT20	HS11	0.91921	0	"Without IR (0)"
PT21	HS11	0.93047	0	"Without IR (0)"
PT22	HS11	0.92857	0	"Without IR (0)"
PTX	HS11	0.90344	0	"Without IR (0)"
PTY	HS11	0.93648	0	"Without IR (0)"
PTMT	HS11	1	0	"Without IR (0)"
PTUL	HS11	0.90011	0	"Without IR (0)"
PTUP	HS11	0.91904	0	"Without IR (0)"
PT1	HS12	0.90095	0	"Without IR (0)"
PT2A	HS12	0.91134	0	"Without IR (0)"
PT2B	HS12	0.9089	0	"Without IR (0)"
PT3	HS12	0.89982	0	"Without IR (0)"
PT4	HS12	0.90201	0	"Without IR (0)"
PT5	HS12	0.90331	0	"Without IR (0)"
PT6	HS12	0.90184	0	"Without IR (0)"
PT7	HS12	0.90197	0	"Without IR (0)"
PT8	HS12	0.90268	0	"Without IR (0)"
PT9	HS12	0.90786	0	"Without IR (0)"
PT10	HS12	0.90353	0	"Without IR (0)"
PT11	HS12	0.906	0	"Without IR (0)"
PT12	HS12	0.49554	0	"Without IR (0)"
PT13	HS12	0.91422	0	"Without IR (0)"
PT14	HS12	0.91297	0	"Without IR (0)"
PT15	HS12	0.91521	0	"Without IR (0)"
PT16	HS12	0.9113	0	"Without IR (0)"
PT17	HS12	0.91476	0	"Without IR (0)"
PT18	HS12	0.91752	0	"Without IR (0)"
PT19	HS12	0.91273	0	"Without IR (0)"
PT20	HS12	0.91326	0	"Without IR (0)"
PT21	HS12	0.92689	0	"Without IR (0)"
PT22	HS12	0.92539	0	"Without IR (0)"
PTX	HS12	0.9027	0	"Without IR (0)"
PTY	HS12	0.93634	0	"Without IR (0)"
PTMT	HS12	1	0	"Without IR (0)"
PTUL	HS12	0.89633	0	"Without IR (0)"
PTUP	HS12	0.91793	0	"Without IR (0)"
PT1	HS13	0.79192	0	"Without IR (0)"
PT2A	HS13	0.79837	0	"Without IR (0)"
PT2B	HS13	0.79539	0	"Without IR (0)"
PT3	HS13	0.7941	0	"Without IR (0)"
PT4	HS13	0.7932	0	"Without IR (0)"
PT5	HS13	0.79315	0	"Without IR (0)"
PT6	HS13	0.79384	0	"Without IR (0)"
PT7	HS13	0.79372	0	"Without IR (0)"
PT8	HS13	0.7946	0	"Without IR (0)"
PT9	HS13	0.79555	0	"Without IR (0)"
PT10	HS13	0.79651	0	"Without IR (0)"
PT11	HS13	0.79562	0	"Without IR (0)"
PT12	HS13	0.79518	0	"Without IR (0)"
PT13	HS13	0.26321	0	"Without IR (0)"
PT14	HS13	0.80034	0	"Without IR (0)"
PT15	HS13	0.80187	0	"Without IR (0)"
PT16	HS13	0.80036	0	"Without IR (0)"
PT17	HS13	0.80198	0	"Without IR (0)"
PT18	HS13	0.80258	0	"Without IR (0)"
PT19	HS13	0.80195	0	"Without IR (0)"
PT20	HS13	0.80078	0	"Without IR (0)"
PT21	HS13	0.80874	0	"Without IR (0)"
PT22	HS13	0.80876	0	"Without IR (0)"
PTX	HS13	0.79228	0	"Without IR (0)"
PTY	HS13	0.81533	0	"Without IR (0)"
PTMT	HS13	1	0	"Without IR (0)"
PTUL	HS13	0.78663	0	"Without IR (0)"
PTUP	HS13	0.80367	0	"Without IR (0)"
PT1	HS14	0.76683	0	"Without IR (0)"
PT2A	HS14	0.77484	0	"Without IR (0)"
PT2B	HS14	0.77051	0	"Without IR (0)"
PT3	HS14	0.76958	0	"Without IR (0)"
PT4	HS14	0.76891	0	"Without IR (0)"
PT5	HS14	0.76868	0	"Without IR (0)"
PT6	HS14	0.76951	0	"Without IR (0)"
PT7	HS14	0.76826	0	"Without IR (0)"
PT8	HS14	0.77076	0	"Without IR (0)"
PT9	HS14	0.77109	0	"Without IR (0)"
PT10	HS14	0.77245	0	"Without IR (0)"
PT11	HS14	0.77151	0	"Without IR (0)"
PT12	HS14	0.77086	0	"Without IR (0)"
PT13	HS14	0.77794	0	"Without IR (0)"
PT14	HS14	0.25851	0	"Without IR (0)"
PT15	HS14	0.77825	0	"Without IR (0)"
PT16	HS14	0.77649	0	"Without IR (0)"
PT17	HS14	0.77843	0	"Without IR (0)"
PT18	HS14	0.78061	0	"Without IR (0)"
PT19	HS14	0.77796	0	"Without IR (0)"
PT20	HS14	0.77734	0	"Without IR (0)"
PT21	HS14	0.78837	0	"Without IR (0)"
PT22	HS14	0.78613	0	"Without IR (0)"
PTX	HS14	0.76799	0	"Without IR (0)"
PTY	HS14	0.79511	0	"Without IR (0)"
PTMT	HS14	1	0	"Without IR (0)"
PTUL	HS14	0.76364	0	"Without IR (0)"
PTUP	HS14	0.77951	0	"Without IR (0)"
PT1	HS15	0.75147	0	"Without IR (0)"
PT2A	HS15	0.75976	0	"Without IR (0)"
PT2B	HS15	0.75647	0	"Without IR (0)"
PT3	HS15	0.75665	0	"Without IR (0)"
PT4	HS15	0.75553	0	"Without IR (0)"
PT5	HS15	0.75369	0	"Without IR (0)"
PT6	HS15	0.75482	0	"Without IR (0)"
PT7	HS15	0.75328	0	"Without IR (0)"
PT8	HS15	0.75559	0	"Without IR (0)"
PT9	HS15	0.75686	0	"Without IR (0)"
PT10	HS15	0.75641	0	"Without IR (0)"
PT11	HS15	0.75679	0	"Without IR (0)"
PT12	HS15	0.75554	0	"Without IR (0)"
PT13	HS15	0.76411	0	"Without IR (0)"
PT14	HS15	0.76215	0	"Without IR (0)"
PT15	HS15	0.2845	0	"Without IR (0)"
PT16	HS15	0.75875	0	"Without IR (0)"
PT17	HS15	0.7617	0	"Without IR (0)"
PT18	HS15	0.76647	0	"Without IR (0)"
PT19	HS15	0.76016	0	"Without IR (0)"
PT20	HS15	0.75911	0	"Without IR (0)"
PT21	HS15	0.77363	0	"Without IR (0)"
PT22	HS15	0.76916	0	"Without IR (0)"
PTX	HS15	0.75381	0	"Without IR (0)"
PTY	HS15	0.77775	0	"Without IR (0)"
PTMT	HS15	1	0	"Without IR (0)"
PTUL	HS15	0.74485	0	"Without IR (0)"
PTUP	HS15	0.75481	0	"Without IR (0)"
PT1	HS16	0.8123	0	"Without IR (0)"
PT2A	HS16	0.8214	0	"Without IR (0)"
PT2B	HS16	0.82168	0	"Without IR (0)"
PT3	HS16	0.81469	0	"Without IR (0)"
PT4	HS16	0.81636	0	"Without IR (0)"
PT5	HS16	0.81698	0	"Without IR (0)"
PT6	HS16	0.81615	0	"Without IR (0)"
PT7	HS16	0.8121	0	"Without IR (0)"
PT8	HS16	0.81337	0	"Without IR (0)"
PT9	HS16	0.82001	0	"Without IR (0)"
PT10	HS16	0.81302	0	"Without IR (0)"
PT11	HS16	0.81922	0	"Without IR (0)"
PT12	HS16	0.81389	0	"Without IR (0)"
PT13	HS16	0.82728	0	"Without IR (0)"
PT14	HS16	0.82542	0	"Without IR (0)"
PT15	HS16	0.82497	0	"Without IR (0)"
PT16	HS16	0.31637	0	"Without IR (0)"
PT17	HS16	0.82252	0	"Without IR (0)"
PT18	HS16	0.82809	0	"Without IR (0)"
PT19	HS16	0.81849	0	"Without IR (0)"
PT20	HS16	0.82137	0	"Without IR (0)"
PT21	HS16	0.83763	0	"Without IR (0)"
PT22	HS16	0.83145	0	"Without IR (0)"
PTX	HS16	0.81877	0	"Without IR (0)"
PTY	HS16	0.84744	0	"Without IR (0)"
PTMT	HS16	1	0	"Without IR (0)"
PTUL	HS16	0.79703	0	"Without IR (0)"
PTUP	HS16	0.80599	0	"Without IR (0)"
PT1	HS17	0.88273	0	"Without IR (0)"
PT2A	HS17	0.89505	0	"Without IR (0)"
PT2B	HS17	0.89245	0	"Without IR (0)"
PT3	HS17	0.89004	0	"Without IR (0)"
PT4	HS17	0.88958	0	"Without IR (0)"
PT5	HS17	0.88767	0	"Without IR (0)"
PT6	HS17	0.88784	0	"Without IR (0)"
PT7	HS17	0.88475	0	"Without IR (0)"
PT8	HS17	0.88914	0	"Without IR (0)"
PT9	HS17	0.89212	0	"Without IR (0)"
PT10	HS17	0.889	0	"Without IR (0)"
PT11	HS17	0.88388	0	"Without IR (0)"
PT12	HS17	0.88913	0	"Without IR (0)"
PT13	HS17	0.89974	0	"Without IR (0)"
PT14	HS17	0.8977	0	"Without IR (0)"
PT15	HS17	0.89811	0	"Without IR (0)"
PT16	HS17	0.88992	0	"Without IR (0)"
PT17	HS17	0.55357	0	"Without IR (0)"
PT18	HS17	0.90211	0	"Without IR (0)"
PT19	HS17	0.8844	0	"Without IR (0)"
PT20	HS17	0.89496	0	"Without IR (0)"
PT21	HS17	0.91139	0	"Without IR (0)"
PT22	HS17	0.90377	0	"Without IR (0)"
PTX	HS17	0.8854	0	"Without IR (0)"
PTY	HS17	0.92465	0	"Without IR (0)"
PTMT	HS17	1	0	"Without IR (0)"
PTUL	HS17	0.86172	0	"Without IR (0)"
PTUP	HS17	0.88264	0	"Without IR (0)"
PT1	HS18	0.92058	0	"Without IR (0)"
PT2A	HS18	0.92898	0	"Without IR (0)"
PT2B	HS18	0.9218	0	"Without IR (0)"
PT3	HS18	0.92593	0	"Without IR (0)"
PT4	HS18	0.92106	0	"Without IR (0)"
PT5	HS18	0.92119	0	"Without IR (0)"
PT6	HS18	0.92173	0	"Without IR (0)"
PT7	HS18	0.91928	0	"Without IR (0)"
PT8	HS18	0.9189	0	"Without IR (0)"
PT9	HS18	0.91997	0	"Without IR (0)"
PT10	HS18	0.92521	0	"Without IR (0)"
PT11	HS18	0.92348	0	"Without IR (0)"
PT12	HS18	0.92311	0	"Without IR (0)"
PT13	HS18	0.9342	0	"Without IR (0)"
PT14	HS18	0.93311	0	"Without IR (0)"
PT15	HS18	0.93506	0	"Without IR (0)"
PT16	HS18	0.92415	0	"Without IR (0)"
PT17	HS18	0.93069	0	"Without IR (0)"
PT18	HS18	0.45035	0	"Without IR (0)"
PT19	HS18	0.9254	0	"Without IR (0)"
PT20	HS18	0.91946	0	"Without IR (0)"
PT21	HS18	0.94318	0	"Without IR (0)"
PT22	HS18	0.93752	0	"Without IR (0)"
PTX	HS18	0.9191	0	"Without IR (0)"
PTY	HS18	0.94692	0	"Without IR (0)"
PTMT	HS18	1	0	"Without IR (0)"
PTUL	HS18	0.91363	0	"Without IR (0)"
PTUP	HS18	0.92014	0	"Without IR (0)"
PT1	HS19	0.84982	0	"Without IR (0)"
PT2A	HS19	0.86659	0	"Without IR (0)"
PT2B	HS19	0.86344	0	"Without IR (0)"
PT3	HS19	0.85257	0	"Without IR (0)"
PT4	HS19	0.85441	0	"Without IR (0)"
PT5	HS19	0.85556	0	"Without IR (0)"
PT6	HS19	0.8532	0	"Without IR (0)"
PT7	HS19	0.85327	0	"Without IR (0)"
PT8	HS19	0.84981	0	"Without IR (0)"
PT9	HS19	0.85994	0	"Without IR (0)"
PT10	HS19	0.85339	0	"Without IR (0)"
PT11	HS19	0.85847	0	"Without IR (0)"
PT12	HS19	0.84935	0	"Without IR (0)"
PT13	HS19	0.87227	0	"Without IR (0)"
PT14	HS19	0.86899	0	"Without IR (0)"
PT15	HS19	0.86985	0	"Without IR (0)"
PT16	HS19	0.85647	0	"Without IR (0)"
PT17	HS19	0.86368	0	"Without IR (0)"
PT18	HS19	0.87559	0	"Without IR (0)"
PT19	HS19	0.34675	0	"Without IR (0)"
PT20	HS19	0.86077	0	"Without IR (0)"
PT21	HS19	0.88755	0	"Without IR (0)"
PT22	HS19	0.87896	0	"Without IR (0)"
PTX	HS19	0.85762	0	"Without IR (0)"
PTY	HS19	0.90552	0	"Without IR (0)"
PTMT	HS19	1	0	"Without IR (0)"
PTUL	HS19	0.83285	0	"Without IR (0)"
PTUP	HS19	0.86406	0	"Without IR (0)"
PT1	HS20	0.90027	0	"Without IR (0)"
PT2A	HS20	0.9106	0	"Without IR (0)"
PT2B	HS20	0.90428	0	"Without IR (0)"
PT3	HS20	0.90769	0	"Without IR (0)"
PT4	HS20	0.90409	0	"Without IR (0)"
PT5	HS20	0.90338	0	"Without IR (0)"
PT6	HS20	0.90445	0	"Without IR (0)"
PT7	HS20	0.89917	0	"Without IR (0)"
PT8	HS20	0.9026	0	"Without IR (0)"
PT9	HS20	0.90355	0	"Without IR (0)"
PT10	HS20	0.90649	0	"Without IR (0)"
PT11	HS20	0.90548	0	"Without IR (0)"
PT12	HS20	0.90337	0	"Without IR (0)"
PT13	HS20	0.91822	0	"Without IR (0)"
PT14	HS20	0.91685	0	"Without IR (0)"
PT15	HS20	0.91767	0	"Without IR (0)"
PT16	HS20	0.90688	0	"Without IR (0)"
PT17	HS20	0.91066	0	"Without IR (0)"
PT18	HS20	0.92075	0	"Without IR (0)"
PT19	HS20	0.90775	0	"Without IR (0)"
PT20	HS20	0.30801	0	"Without IR (0)"
PT21	HS20	0.92841	0	"Without IR (0)"
PT22	HS20	0.91947	0	"Without IR (0)"
PTX	HS20	0.9034	0	"Without IR (0)"
PTY	HS20	0.93192	0	"Without IR (0)"
