ref	tar	nrc	ir	ir.label
HS10	PT2B	0.90207	0	"Without IR (0)"
HS11	PT2B	0.90162	0	"Without IR (0)"
HS12	PT2B	0.90104	0	"Without IR (0)"
HS13	PT2B	0.90589	0	"Without IR (0)"
HS14	PT2B	0.90397	0	"Without IR (0)"
HS15	PT2B	0.90733	0	"Without IR (0)"
HS16	PT2B	0.90849	0	"Without IR (0)"
HS17	PT2B	0.9086	0	"Without IR (0)"
HS18	PT2B	0.90774	0	"Without IR (0)"
HS19	PT2B	0.91034	0	"Without IR (0)"
HS20	PT2B	0.91003	0	"Without IR (0)"
HS21	PT2B	0.91511	0	"Without IR (0)"
HS22	PT2B	0.91457	0	"Without IR (0)"
HSX	PT2B	0.89791	0	"Without IR (0)"
HSY	PT2B	0.91848	0	"Without IR (0)"
HSMT	PT2B	1	0	"Without IR (0)"
HSAL	PT2B	0.90018	0	"Without IR (0)"
HSUL	PT2B	0.93532	0	"Without IR (0)"
HSUP	PT2B	0.9403	0	"Without IR (0)"
HS1	PT3	0.89766	0	"Without IR (0)"
HS2	PT3	0.89765	0	"Without IR (0)"
HS3	PT3	0.28478	0	"Without IR (0)"
HS4	PT3	0.89865	0	"Without IR (0)"
HS5	PT3	0.89949	0	"Without IR (0)"
HS6	PT3	0.90058	0	"Without IR (0)"
HS7	PT3	0.90063	0	"Without IR (0)"
HS8	PT3	0.90212	0	"Without IR (0)"
HS9	PT3	0.90467	0	"Without IR (0)"
HS10	PT3	0.90338	0	"Without IR (0)"
HS11	PT3	0.9016	0	"Without IR (0)"
HS12	PT3	0.90152	0	"Without IR (0)"
HS13	PT3	0.90812	0	"Without IR (0)"
HS14	PT3	0.90662	0	"Without IR (0)"
HS15	PT3	0.90924	0	"Without IR (0)"
HS16	PT3	0.91043	0	"Without IR (0)"
HS17	PT3	0.91095	0	"Without IR (0)"
HS18	PT3	0.91122	0	"Without IR (0)"
HS19	PT3	0.91225	0	"Without IR (0)"
HS20	PT3	0.91256	0	"Without IR (0)"
HS21	PT3	0.91805	0	"Without IR (0)"
HS22	PT3	0.91838	0	"Without IR (0)"
HSX	PT3	0.89871	0	"Without IR (0)"
HSY	PT3	0.92058	0	"Without IR (0)"
HSMT	PT3	1	0	"Without IR (0)"
HSAL	PT3	0.90314	0	"Without IR (0)"
HSUL	PT3	0.93914	0	"Without IR (0)"
HSUP	PT3	0.94404	0	"Without IR (0)"
HS1	PT4	0.8975	0	"Without IR (0)"
HS2	PT4	0.89785	0	"Without IR (0)"
HS3	PT4	0.89824	0	"Without IR (0)"
HS4	PT4	0.41529	0	"Without IR (0)"
HS5	PT4	0.89965	0	"Without IR (0)"
HS6	PT4	0.90007	0	"Without IR (0)"
HS7	PT4	0.90089	0	"Without IR (0)"
HS8	PT4	0.9015	0	"Without IR (0)"
HS9	PT4	0.90386	0	"Without IR (0)"
HS10	PT4	0.90356	0	"Without IR (0)"
HS11	PT4	0.90193	0	"Without IR (0)"
HS12	PT4	0.90211	0	"Without IR (0)"
HS13	PT4	0.9079	0	"Without IR (0)"
HS14	PT4	0.90702	0	"Without IR (0)"
HS15	PT4	0.91003	0	"Without IR (0)"
HS16	PT4	0.91143	0	"Without IR (0)"
HS17	PT4	0.91179	0	"Without IR (0)"
HS18	PT4	0.91115	0	"Without IR (0)"
HS19	PT4	0.91343	0	"Without IR (0)"
HS20	PT4	0.91349	0	"Without IR (0)"
HS21	PT4	0.91787	0	"Without IR (0)"
HS22	PT4	0.91982	0	"Without IR (0)"
HSX	PT4	0.89794	0	"Without IR (0)"
HSY	PT4	0.91992	0	"Without IR (0)"
HSMT	PT4	1	0	"Without IR (0)"
HSAL	PT4	0.90417	0	"Without IR (0)"
HSUL	PT4	0.93868	0	"Without IR (0)"
HSUP	PT4	0.94326	0	"Without IR (0)"
HS1	PT5	0.89445	0	"Without IR (0)"
HS2	PT5	0.89519	0	"Without IR (0)"
HS3	PT5	0.89603	0	"Without IR (0)"
HS4	PT5	0.89664	0	"Without IR (0)"
HS5	PT5	0.53872	0	"Without IR (0)"
HS6	PT5	0.89657	0	"Without IR (0)"
HS7	PT5	0.89825	0	"Without IR (0)"
HS8	PT5	0.89984	0	"Without IR (0)"
HS9	PT5	0.90201	0	"Without IR (0)"
HS10	PT5	0.90073	0	"Without IR (0)"
HS11	PT5	0.89995	0	"Without IR (0)"
HS12	PT5	0.89934	0	"Without IR (0)"
HS13	PT5	0.90511	0	"Without IR (0)"
HS14	PT5	0.90405	0	"Without IR (0)"
HS15	PT5	0.9067	0	"Without IR (0)"
HS16	PT5	0.90794	0	"Without IR (0)"
HS17	PT5	0.90834	0	"Without IR (0)"
HS18	PT5	0.90818	0	"Without IR (0)"
HS19	PT5	0.90987	0	"Without IR (0)"
HS20	PT5	0.91013	0	"Without IR (0)"
HS21	PT5	0.91543	0	"Without IR (0)"
HS22	PT5	0.91598	0	"Without IR (0)"
HSX	PT5	0.89553	0	"Without IR (0)"
HSY	PT5	0.91759	0	"Without IR (0)"
HSMT	PT5	1	0	"Without IR (0)"
HSAL	PT5	0.90413	0	"Without IR (0)"
HSUL	PT5	0.93585	0	"Without IR (0)"
HSUP	PT5	0.94067	0	"Without IR (0)"
HS1	PT6	0.8928	0	"Without IR (0)"
HS2	PT6	0.89302	0	"Without IR (0)"
HS3	PT6	0.89354	0	"Without IR (0)"
HS4	PT6	0.89465	0	"Without IR (0)"
HS5	PT6	0.89449	0	"Without IR (0)"
HS6	PT6	0.28591	0	"Without IR (0)"
HS7	PT6	0.89627	0	"Without IR (0)"
HS8	PT6	0.89774	0	"Without IR (0)"
HS9	PT6	0.89983	0	"Without IR (0)"
HS10	PT6	0.89863	0	"Without IR (0)"
HS11	PT6	0.89789	0	"Without IR (0)"
HS12	PT6	0.89719	0	"Without IR (0)"
HS13	PT6	0.90322	0	"Without IR (0)"
HS14	PT6	0.9021	0	"Without IR (0)"
HS15	PT6	0.90473	0	"Without IR (0)"
HS16	PT6	0.90596	0	"Without IR (0)"
HS17	PT6	0.90604	0	"Without IR (0)"
HS18	PT6	0.90634	0	"Without IR (0)"
HS19	PT6	0.90759	0	"Without IR (0)"
HS20	PT6	0.90809	0	"Without IR (0)"
HS21	PT6	0.91369	0	"Without IR (0)"
HS22	PT6	0.91408	0	"Without IR (0)"
HSX	PT6	0.89376	0	"Without IR (0)"
HSY	PT6	0.91631	0	"Without IR (0)"
HSMT	PT6	1	0	"Without IR (0)"
HSAL	PT6	0.87777	0	"Without IR (0)"
HSUL	PT6	0.93527	0	"Without IR (0)"
HSUP	PT6	0.94031	0	"Without IR (0)"
HS1	PT7	0.86728	0	"Without IR (0)"
HS2	PT7	0.87313	0	"Without IR (0)"
HS3	PT7	0.87432	0	"Without IR (0)"
HS4	PT7	0.87462	0	"Without IR (0)"
HS5	PT7	0.87545	0	"Without IR (0)"
HS6	PT7	0.87601	0	"Without IR (0)"
HS7	PT7	0.33011	0	"Without IR (0)"
HS8	PT7	0.87773	0	"Without IR (0)"
HS9	PT7	0.87797	0	"Without IR (0)"
HS10	PT7	0.8776	0	"Without IR (0)"
HS11	PT7	0.87707	0	"Without IR (0)"
HS12	PT7	0.87614	0	"Without IR (0)"
HS13	PT7	0.88392	0	"Without IR (0)"
HS14	PT7	0.88177	0	"Without IR (0)"
HS15	PT7	0.8846	0	"Without IR (0)"
HS16	PT7	0.88366	0	"Without IR (0)"
HS17	PT7	0.88399	0	"Without IR (0)"
HS18	PT7	0.88668	0	"Without IR (0)"
HS19	PT7	0.88565	0	"Without IR (0)"
HS20	PT7	0.88659	0	"Without IR (0)"
HS21	PT7	0.89019	0	"Without IR (0)"
HS22	PT7	0.89202	0	"Without IR (0)"
HSX	PT7	0.87499	0	"Without IR (0)"
HSY	PT7	0.89754	0	"Without IR (0)"
HSMT	PT7	1	0	"Without IR (0)"
HSAL	PT7	0.8754	0	"Without IR (0)"
HSUL	PT7	0.91256	0	"Without IR (0)"
HSUP	PT7	0.91958	0	"Without IR (0)"
HS1	PT8	0.89193	0	"Without IR (0)"
HS2	PT8	0.89229	0	"Without IR (0)"
HS3	PT8	0.89299	0	"Without IR (0)"
HS4	PT8	0.89329	0	"Without IR (0)"
HS5	PT8	0.89445	0	"Without IR (0)"
HS6	PT8	0.89479	0	"Without IR (0)"
HS7	PT8	0.89493	0	"Without IR (0)"
HS8	PT8	0.30103	0	"Without IR (0)"
HS9	PT8	0.89887	0	"Without IR (0)"
HS10	PT8	0.8973	0	"Without IR (0)"
HS11	PT8	0.89641	0	"Without IR (0)"
HS12	PT8	0.89613	0	"Without IR (0)"
HS13	PT8	0.90195	0	"Without IR (0)"
HS14	PT8	0.90111	0	"Without IR (0)"
HS15	PT8	0.90346	0	"Without IR (0)"
HS16	PT8	0.90383	0	"Without IR (0)"
HS17	PT8	0.90431	0	"Without IR (0)"
HS18	PT8	0.905	0	"Without IR (0)"
HS19	PT8	0.90559	0	"Without IR (0)"
HS20	PT8	0.9064	0	"Without IR (0)"
HS21	PT8	0.91195	0	"Without IR (0)"
HS22	PT8	0.91201	0	"Without IR (0)"
HSX	PT8	0.89333	0	"Without IR (0)"
HSY	PT8	0.91426	0	"Without IR (0)"
HSMT	PT8	1	0	"Without IR (0)"
HSAL	PT8	0.88963	0	"Without IR (0)"
HSUL	PT8	0.93208	0	"Without IR (0)"
HSUP	PT8	0.93688	0	"Without IR (0)"
HS1	PT9	0.8819	0	"Without IR (0)"
HS2	PT9	0.88073	0	"Without IR (0)"
HS3	PT9	0.88298	0	"Without IR (0)"
HS4	PT9	0.88337	0	"Without IR (0)"
HS5	PT9	0.88449	0	"Without IR (0)"
HS6	PT9	0.88493	0	"Without IR (0)"
HS7	PT9	0.88466	0	"Without IR (0)"
HS8	PT9	0.88694	0	"Without IR (0)"
HS9	PT9	0.29159	0	"Without IR (0)"
HS10	PT9	0.88732	0	"Without IR (0)"
HS11	PT9	0.88675	0	"Without IR (0)"
HS12	PT9	0.88588	0	"Without IR (0)"
HS13	PT9	0.89187	0	"Without IR (0)"
HS14	PT9	0.88985	0	"Without IR (0)"
HS15	PT9	0.8923	0	"Without IR (0)"
HS16	PT9	0.89322	0	"Without IR (0)"
HS17	PT9	0.89334	0	"Without IR (0)"
HS18	PT9	0.89429	0	"Without IR (0)"
HS19	PT9	0.89447	0	"Without IR (0)"
HS20	PT9	0.89457	0	"Without IR (0)"
HS21	PT9	0.90009	0	"Without IR (0)"
HS22	PT9	0.89907	0	"Without IR (0)"
HSX	PT9	0.88381	0	"Without IR (0)"
HSY	PT9	0.9046	0	"Without IR (0)"
HSMT	PT9	1	0	"Without IR (0)"
HSAL	PT9	0.88568	0	"Without IR (0)"
HSUL	PT9	0.92162	0	"Without IR (0)"
HSUP	PT9	0.92741	0	"Without IR (0)"
HS1	PT10	0.88589	0	"Without IR (0)"
HS2	PT10	0.88594	0	"Without IR (0)"
HS3	PT10	0.88723	0	"Without IR (0)"
HS4	PT10	0.88827	0	"Without IR (0)"
HS5	PT10	0.88897	0	"Without IR (0)"
HS6	PT10	0.8894	0	"Without IR (0)"
HS7	PT10	0.88842	0	"Without IR (0)"
HS8	PT10	0.89069	0	"Without IR (0)"
HS9	PT10	0.89265	0	"Without IR (0)"
HS10	PT10	0.29531	0	"Without IR (0)"
HS11	PT10	0.89071	0	"Without IR (0)"
HS12	PT10	0.88991	0	"Without IR (0)"
HS13	PT10	0.89674	0	"Without IR (0)"
HS14	PT10	0.89538	0	"Without IR (0)"
HS15	PT10	0.89696	0	"Without IR (0)"
HS16	PT10	0.89667	0	"Without IR (0)"
HS17	PT10	0.89693	0	"Without IR (0)"
HS18	PT10	0.8992	0	"Without IR (0)"
HS19	PT10	0.89848	0	"Without IR (0)"
HS20	PT10	0.90022	0	"Without IR (0)"
HS21	PT10	0.90607	0	"Without IR (0)"
HS22	PT10	0.90432	0	"Without IR (0)"
HSX	PT10	0.88858	0	"Without IR (0)"
HSY	PT10	0.9093	0	"Without IR (0)"
HSMT	PT10	1	0	"Without IR (0)"
HSAL	PT10	0.88959	0	"Without IR (0)"
HSUL	PT10	0.92673	0	"Without IR (0)"
HSUP	PT10	0.93314	0	"Without IR (0)"
HS1	PT11	0.88604	0	"Without IR (0)"
HS2	PT11	0.88623	0	"Without IR (0)"
HS3	PT11	0.88648	0	"Without IR (0)"
HS4	PT11	0.88698	0	"Without IR (0)"
HS5	PT11	0.88783	0	"Without IR (0)"
HS6	PT11	0.88852	0	"Without IR (0)"
HS7	PT11	0.88809	0	"Without IR (0)"
HS8	PT11	0.88999	0	"Without IR (0)"
HS9	PT11	0.8925	0	"Without IR (0)"
HS10	PT11	0.8911	0	"Without IR (0)"
HS11	PT11	0.28601	0	"Without IR (0)"
HS12	PT11	0.88956	0	"Without IR (0)"
HS13	PT11	0.89652	0	"Without IR (0)"
HS14	PT11	0.89496	0	"Without IR (0)"
HS15	PT11	0.89745	0	"Without IR (0)"
HS16	PT11	0.89791	0	"Without IR (0)"
HS17	PT11	0.89867	0	"Without IR (0)"
HS18	PT11	0.89953	0	"Without IR (0)"
HS19	PT11	0.8993	0	"Without IR (0)"
HS20	PT11	0.90046	0	"Without IR (0)"
HS21	PT11	0.90622	0	"Without IR (0)"
HS22	PT11	0.90602	0	"Without IR (0)"
HSX	PT11	0.88677	0	"Without IR (0)"
HSY	PT11	0.9089	0	"Without IR (0)"
HSMT	PT11	1	0	"Without IR (0)"
HSAL	PT11	0.88802	0	"Without IR (0)"
HSUL	PT11	0.92647	0	"Without IR (0)"
HSUP	PT11	0.93227	0	"Without IR (0)"
HS1	PT12	0.87792	0	"Without IR (0)"
HS2	PT12	0.87871	0	"Without IR (0)"
HS3	PT12	0.87925	0	"Without IR (0)"
HS4	PT12	0.88064	0	"Without IR (0)"
HS5	PT12	0.88066	0	"Without IR (0)"
HS6	PT12	0.88124	0	"Without IR (0)"
HS7	PT12	0.8808	0	"Without IR (0)"
HS8	PT12	0.88296	0	"Without IR (0)"
HS9	PT12	0.88509	0	"Without IR (0)"
HS10	PT12	0.88376	0	"Without IR (0)"
HS11	PT12	0.88302	0	"Without IR (0)"
HS12	PT12	0.48599	0	"Without IR (0)"
HS13	PT12	0.88954	0	"Without IR (0)"
HS14	PT12	0.88789	0	"Without IR (0)"
HS15	PT12	0.8902	0	"Without IR (0)"
HS16	PT12	0.89052	0	"Without IR (0)"
HS17	PT12	0.89063	0	"Without IR (0)"
HS18	PT12	0.89252	0	"Without IR (0)"
HS19	PT12	0.89154	0	"Without IR (0)"
HS20	PT12	0.89302	0	"Without IR (0)"
HS21	PT12	0.89997	0	"Without IR (0)"
HS22	PT12	0.89904	0	"Without IR (0)"
HSX	PT12	0.88004	0	"Without IR (0)"
HSY	PT12	0.90373	0	"Without IR (0)"
HSMT	PT12	1	0	"Without IR (0)"
HSAL	PT12	0.87955	0	"Without IR (0)"
HSUL	PT12	0.92373	0	"Without IR (0)"
HSUP	PT12	0.92984	0	"Without IR (0)"
HS1	PT13	0.89458	0	"Without IR (0)"
HS2	PT13	0.89398	0	"Without IR (0)"
HS3	PT13	0.89546	0	"Without IR (0)"
HS4	PT13	0.89565	0	"Without IR (0)"
HS5	PT13	0.89653	0	"Without IR (0)"
HS6	PT13	0.89664	0	"Without IR (0)"
HS7	PT13	0.89755	0	"Without IR (0)"
HS8	PT13	0.89852	0	"Without IR (0)"
HS9	PT13	0.89992	0	"Without IR (0)"
HS10	PT13	0.89946	0	"Without IR (0)"
HS11	PT13	0.89893	0	"Without IR (0)"
HS12	PT13	0.89836	0	"Without IR (0)"
HS13	PT13	0.28984	0	"Without IR (0)"
HS14	PT13	0.90197	0	"Without IR (0)"
HS15	PT13	0.90394	0	"Without IR (0)"
HS16	PT13	0.90539	0	"Without IR (0)"
HS17	PT13	0.90523	0	"Without IR (0)"
HS18	PT13	0.90542	0	"Without IR (0)"
HS19	PT13	0.90708	0	"Without IR (0)"
HS20	PT13	0.907	0	"Without IR (0)"
HS21	PT13	0.90985	0	"Without IR (0)"
HS22	PT13	0.91208	0	"Without IR (0)"
HSX	PT13	0.89551	0	"Without IR (0)"
HSY	PT13	0.91425	0	"Without IR (0)"
HSMT	PT13	1	0	"Without IR (0)"
HSAL	PT13	0.8965	0	"Without IR (0)"
HSUL	PT13	0.93013	0	"Without IR (0)"
HSUP	PT13	0.9345	0	"Without IR (0)"
HS1	PT14	0.87369	0	"Without IR (0)"
HS2	PT14	0.87327	0	"Without IR (0)"
HS3	PT14	0.87523	0	"Without IR (0)"
HS4	PT14	0.87589	0	"Without IR (0)"
HS5	PT14	0.87657	0	"Without IR (0)"
HS6	PT14	0.87674	0	"Without IR (0)"
HS7	PT14	0.87733	0	"Without IR (0)"
HS8	PT14	0.87895	0	"Without IR (0)"
HS9	PT14	0.8803	0	"Without IR (0)"
HS10	PT14	0.87981	0	"Without IR (0)"
HS11	PT14	0.87934	0	"Without IR (0)"
HS12	PT14	0.87853	0	"Without IR (0)"
HS13	PT14	0.88416	0	"Without IR (0)"
HS14	PT14	0.27841	0	"Without IR (0)"
HS15	PT14	0.88449	0	"Without IR (0)"
HS16	PT14	0.88609	0	"Without IR (0)"
HS17	PT14	0.88594	0	"Without IR (0)"
HS18	PT14	0.88681	0	"Without IR (0)"
HS19	PT14	0.88774	0	"Without IR (0)"
HS20	PT14	0.88874	0	"Without IR (0)"
HS21	PT14	0.89462	0	"Without IR (0)"
HS22	PT14	0.89395	0	"Without IR (0)"
HSX	PT14	0.87556	0	"Without IR (0)"
HSY	PT14	0.89822	0	"Without IR (0)"
HSMT	PT14	1	0	"Without IR (0)"
HSAL	PT14	0.86734	0	"Without IR (0)"
HSUL	PT14	0.91655	0	"Without IR (0)"
HSUP	PT14	0.92292	0	"Without IR (0)"
HS1	PT15	0.8706	0	"Without IR (0)"
HS2	PT15	0.87109	0	"Without IR (0)"
HS3	PT15	0.87316	0	"Without IR (0)"
HS4	PT15	0.87405	0	"Without IR (0)"
HS5	PT15	0.87409	0	"Without IR (0)"
HS6	PT15	0.87421	0	"Without IR (0)"
HS7	PT15	0.87445	0	"Without IR (0)"
HS8	PT15	0.87622	0	"Without IR (0)"
HS9	PT15	0.87752	0	"Without IR (0)"
HS10	PT15	0.87627	0	"Without IR (0)"
HS11	PT15	0.87675	0	"Without IR (0)"
HS12	PT15	0.87567	0	"Without IR (0)"
HS13	PT15	0.88105	0	"Without IR (0)"
HS14	PT15	0.87929	0	"Without IR (0)"
HS15	PT15	0.29902	0	"Without IR (0)"
HS16	PT15	0.88092	0	"Without IR (0)"
HS17	PT15	0.881	0	"Without IR (0)"
HS18	PT15	0.88393	0	"Without IR (0)"
HS19	PT15	0.88264	0	"Without IR (0)"
HS20	PT15	0.8843	0	"Without IR (0)"
HS21	PT15	0.88999	0	"Without IR (0)"
HS22	PT15	0.88852	0	"Without IR (0)"
HSX	PT15	0.87387	0	"Without IR (0)"
HSY	PT15	0.89397	0	"Without IR (0)"
HSMT	PT15	1	0	"Without IR (0)"
HSAL	PT15	0.8544	0	"Without IR (0)"
HSUL	PT15	0.91262	0	"Without IR (0)"
HSUP	PT15	0.91927	0	"Without IR (0)"
HS1	PT16	0.85597	0	"Without IR (0)"
HS2	PT16	0.85643	0	"Without IR (0)"
HS3	PT16	0.85954	0	"Without IR (0)"
HS4	PT16	0.86169	0	"Without IR (0)"
HS5	PT16	0.86123	0	"Without IR (0)"
HS6	PT16	0.86193	0	"Without IR (0)"
HS7	PT16	0.85822	0	"Without IR (0)"
HS8	PT16	0.86323	0	"Without IR (0)"
HS9	PT16	0.86369	0	"Without IR (0)"
HS10	PT16	0.86165	0	"Without IR (0)"
HS11	PT16	0.863	0	"Without IR (0)"
HS12	PT16	0.86164	0	"Without IR (0)"
HS13	PT16	0.86923	0	"Without IR (0)"
HS14	PT16	0.86674	0	"Without IR (0)"
HS15	PT16	0.86724	0	"Without IR (0)"
HS16	PT16	0.32096	0	"Without IR (0)"
HS17	PT16	0.86611	0	"Without IR (0)"
HS18	PT16	0.87072	0	"Without IR (0)"
HS19	PT16	0.86673	0	"Without IR (0)"
HS20	PT16	0.87019	0	"Without IR (0)"
HS21	PT16	0.87804	0	"Without IR (0)"
HS22	PT16	0.87325	0	"Without IR (0)"
HSX	PT16	0.86187	0	"Without IR (0)"
HSY	PT16	0.88393	0	"Without IR (0)"
HSMT	PT16	1	0	"Without IR (0)"
HSAL	PT16	0.8455	0	"Without IR (0)"
HSUL	PT16	0.89814	0	"Without IR (0)"
HSUP	PT16	0.90952	0	"Without IR (0)"
HS1	PT17	0.84756	0	"Without IR (0)"
HS2	PT17	0.84866	0	"Without IR (0)"
HS3	PT17	0.85144	0	"Without IR (0)"
HS4	PT17	0.85288	0	"Without IR (0)"
HS5	PT17	0.85279	0	"Without IR (0)"
HS6	PT17	0.85291	0	"Without IR (0)"
HS7	PT17	0.84983	0	"Without IR (0)"
HS8	PT17	0.85474	0	"Without IR (0)"
HS9	PT17	0.85552	0	"Without IR (0)"
HS10	PT17	0.85259	0	"Without IR (0)"
HS11	PT17	0.85501	0	"Without IR (0)"
HS12	PT17	0.85317	0	"Without IR (0)"
HS13	PT17	0.86072	0	"Without IR (0)"
HS14	PT17	0.85848	0	"Without IR (0)"
HS15	PT17	0.85925	0	"Without IR (0)"
HS16	PT17	0.85679	0	"Without IR (0)"
HS17	PT17	0.52346	0	"Without IR (0)"
HS18	PT17	0.86295	0	"Without IR (0)"
HS19	PT17	0.8575	0	"Without IR (0)"
HS20	PT17	0.86123	0	"Without IR (0)"
HS21	PT17	0.87014	0	"Without IR (0)"
HS22	PT17	0.86574	0	"Without IR (0)"
HSX	PT17	0.8532	0	"Without IR (0)"
HSY	PT17	0.87662	0	"Without IR (0)"
HSMT	PT17	1	0	"Without IR (0)"
HSAL	PT17	0.8384	0	"Without IR (0)"
HSUL	PT17	0.89728	0	"Without IR (0)"
HSUP	PT17	0.90665	0	"Without IR (0)"
HS1	PT18	0.88702	0	"Without IR (0)"
HS2	PT18	0.88711	0	"Without IR (0)"
HS3	PT18	0.88854	0	"Without IR (0)"
HS4	PT18	0.88878	0	"Without IR (0)"
HS5	PT18	0.88937	0	"Without IR (0)"
HS6	PT18	0.88954	0	"Without IR (0)"
HS7	PT18	0.88991	0	"Without IR (0)"
HS8	PT18	0.8913	0	"Without IR (0)"
HS9	PT18	0.89235	0	"Without IR (0)"
HS10	PT18	0.89164	0	"Without IR (0)"
HS11	PT18	0.89166	0	"Without IR (0)"
HS12	PT18	0.89102	0	"Without IR (0)"
HS13	PT18	0.89427	0	"Without IR (0)"
HS14	PT18	0.89439	0	"Without IR (0)"
HS15	PT18	0.89613	0	"Without IR (0)"
HS16	PT18	0.89669	0	"Without IR (0)"
HS17	PT18	0.89675	0	"Without IR (0)"
HS18	PT18	0.39743	0	"Without IR (0)"
HS19	PT18	0.89851	0	"Without IR (0)"
HS20	PT18	0.89903	0	"Without IR (0)"
HS21	PT18	0.90127	0	"Without IR (0)"
HS22	PT18	0.90335	0	"Without IR (0)"
HSX	PT18	0.88857	0	"Without IR (0)"
HSY	PT18	0.90667	0	"Without IR (0)"
HSMT	PT18	1	0	"Without IR (0)"
HSAL	PT18	0.8844	0	"Without IR (0)"
HSUL	PT18	0.92117	0	"Without IR (0)"
HSUP	PT18	0.92595	0	"Without IR (0)"
HS1	PT19	0.79562	0	"Without IR (0)"
HS2	PT19	0.79866	0	"Without IR (0)"
HS3	PT19	0.80085	0	"Without IR (0)"
HS4	PT19	0.80374	0	"Without IR (0)"
HS5	PT19	0.80189	0	"Without IR (0)"
HS6	PT19	0.8029	0	"Without IR (0)"
HS7	PT19	0.79978	0	"Without IR (0)"
HS8	PT19	0.80558	0	"Without IR (0)"
HS9	PT19	0.80653	0	"Without IR (0)"
HS10	PT19	0.8039	0	"Without IR (0)"
HS11	PT19	0.80428	0	"Without IR (0)"
HS12	PT19	0.80217	0	"Without IR (0)"
HS13	PT19	0.81455	0	"Without IR (0)"
HS14	PT19	0.81053	0	"Without IR (0)"
HS15	PT19	0.81185	0	"Without IR (0)"
HS16	PT19	0.80837	0	"Without IR (0)"
HS17	PT19	0.8072	0	"Without IR (0)"
HS18	PT19	0.81762	0	"Without IR (0)"
HS19	PT19	0.32102	0	"Without IR (0)"
HS20	PT19	0.81438	0	"Without IR (0)"
HS21	PT19	0.82643	0	"Without IR (0)"
HS22	PT19	0.81907	0	"Without IR (0)"
HSX	PT19	0.80312	0	"Without IR (0)"
